latitude,longitude,order_id,demand
12.9716,77.5946,ORD-011,5
12.9352,77.6245,ORD-012,9
12.9081,77.6476,ORD-013,4
12.9784,77.6408,ORD-014,7
12.9279,77.6271,ORD-015,3
13.0200,77.5200,ORD-026,6
12.8600,77.7000,ORD-027,8
12.9700,77.7400,ORD-028,2
12.8900,77.5100,ORD-029,5
13.0000,77.7200,ORD-030,7
13.0400,77.6000,ORD-031,4
12.8500,77.5500,ORD-032,6
12.9500,77.7600,ORD-033,3
12.8800,77.4900,ORD-034,9
13.0600,77.5700,ORD-035,5
12.9050,77.7200,ORD-036,4
13.0150,77.6800,ORD-037,7
12.9400,77.5000,ORD-038,2
12.8700,77.6500,ORD-039,6
13.0500,77.7300,ORD-040,8
12.9250,77.5500,ORD-041,3
12.9800,77.4700,ORD-042,5
13.0300,77.6500,ORD-043,7
12.8650,77.6100,ORD-044,4
12.9550,77.6800,ORD-045,6
12.9150,77.5800,ORD-046,2
13.0100,77.5500,ORD-047,8
12.8950,77.7400,ORD-048,3
12.9650,77.5200,ORD-049,5
13.0450,77.6300,ORD-050,9
